Date,Code,DataSource,Currency,Price,Quantity,Action,Fee,Note
03-01-2023,MRK,MANUAL,USD,109.12,19,buy,0,Merck & Co
03-01-2023,AAPL,MANUAL,USD,186.63,6,sell,2.5,Apple Inc
04-01-2023,VOO,MANUAL,USD,459.89,12,buy,4.95,Vanguard S&P 500 ETF
05-01-2023,VTI,MANUAL,USD,273.82,14,buy,2.5,Vanguard Total Stock
09-01-2023,ADBE,MANUAL,USD,492.43,10,sell,0,Adobe Inc
09-01-2023,VGT,MANUAL,USD,0.78,18,dividend,0,Vanguard Info Tech ETF
12-01-2023,KO,MANUAL,USD,55.38,1,sell,0,Coca-Cola Co
16-01-2023,COST,MANUAL,USD,586.28,13,buy,0,Costco Wholesale
16-01-2023,INTC,MANUAL,USD,53.46,7,sell,0,Intel Corporation
16-01-2023,V,MANUAL,USD,286.62,12,buy,0,Visa Inc
16-01-2023,INTC,MANUAL,USD,34.01,11,buy,0,Intel Corporation
17-01-2023,AAPL,MANUAL,USD,190.46,13,buy,0,Apple Inc
18-01-2023,TSLA,MANUAL,USD,1.06,27,dividend,1.0,Tesla Inc
19-01-2023,CRM,MANUAL,USD,293.19,9,buy,4.95,Salesforce Inc
20-01-2023,SPY,MANUAL,USD,503.24,24,buy,0,SPDR S&P 500 ETF
20-01-2023,AMD,MANUAL,USD,91.06,4,buy,0,AMD Inc
23-01-2023,QQQ,MANUAL,USD,0.28,18,dividend,1.0,Invesco QQQ Trust
23-01-2023,IWM,MANUAL,USD,1.46,22,dividend,4.95,iShares Russell 2000
23-01-2023,GOOGL,MANUAL,USD,137.9,11,buy,4.95,Alphabet Inc
23-01-2023,WMT,MANUAL,USD,155.24,7,sell,0,Walmart Inc
23-01-2023,VXUS,MANUAL,USD,59.51,7,sell,0,Vanguard Intl Stock
23-01-2023,MSFT,MANUAL,USD,361.63,20,buy,0,Microsoft Corporation
23-01-2023,VXUS,MANUAL,USD,53.01,17,buy,1.0,Vanguard Intl Stock
24-01-2023,AVGO,MANUAL,USD,1.77,20,dividend,2.5,Broadcom Inc
26-01-2023,INTC,MANUAL,USD,32.85,2,buy,0,Intel Corporation
27-01-2023,VOO,MANUAL,USD,498.69,19,buy,0,Vanguard S&P 500 ETF
27-01-2023,BRK.B,MANUAL,USD,0.66,5,dividend,2.5,Berkshire Hathaway B
30-01-2023,KO,MANUAL,USD,57.92,9,sell,4.95,Coca-Cola Co
30-01-2023,NFLX,MANUAL,USD,537.59,1,buy,2.5,Netflix Inc
31-01-2023,MRK,MANUAL,USD,107.93,22,buy,0,Merck & Co
02-02-2023,GLD,MANUAL,USD,228.29,3,sell,2.5,SPDR Gold Shares
02-02-2023,XLE,MANUAL,USD,96.51,22,buy,4.95,Energy Select SPDR
06-02-2023,LLY,MANUAL,USD,502.31,1,buy,4.95,Eli Lilly
10-02-2023,VXUS,MANUAL,USD,58.79,10,buy,1.0,Vanguard Intl Stock
13-02-2023,XOM,MANUAL,USD,0.72,12,dividend,0,Exxon Mobil
13-02-2023,AVGO,MANUAL,USD,834.27,13,buy,4.95,Broadcom Inc
13-02-2023,CRM,MANUAL,USD,235.06,6,buy,0,Salesforce Inc
14-02-2023,MA,MANUAL,USD,479.95,10,sell,1.0,Mastercard Inc
16-02-2023,AMZN,MANUAL,USD,0.46,25,dividend,1.0,Amazon.com Inc
16-02-2023,PG,MANUAL,USD,154.74,23,buy,0,Procter & Gamble
16-02-2023,QQQ,MANUAL,USD,385.57,16,buy,4.95,Invesco QQQ Trust
27-02-2023,SCHD,MANUAL,USD,73.09,15,buy,4.95,Schwab Dividend ETF
27-02-2023,QQQ,MANUAL,USD,465.26,5,sell,1.0,Invesco QQQ Trust
27-02-2023,UNH,MANUAL,USD,1.21,7,dividend,4.95,UnitedHealth Group
27-02-2023,XLK,MANUAL,USD,1.39,7,dividend,1.0,Technology Select SPDR
27-02-2023,MA,MANUAL,USD,409.52,3,sell,1.0,Mastercard Inc
28-02-2023,PYPL,MANUAL,USD,58.46,9,buy,0,PayPal Holdings
28-02-2023,CRM,MANUAL,USD,2.42,25,dividend,0,Salesforce Inc
03-03-2023,INTC,MANUAL,USD,26.38,12,buy,2.5,Intel Corporation
06-03-2023,GOOGL,MANUAL,USD,125.62,1,buy,0,Alphabet Inc
06-03-2023,MA,MANUAL,USD,468.53,16,buy,2.5,Mastercard Inc
06-03-2023,V,MANUAL,USD,1.22,10,dividend,4.95,Visa Inc
07-03-2023,META,MANUAL,USD,488.76,9,buy,0,Meta Platforms Inc
09-03-2023,TSLA,MANUAL,USD,264.2,16,buy,2.5,Tesla Inc
10-03-2023,SPY,MANUAL,USD,502.61,12,buy,1.0,SPDR S&P 500 ETF
10-03-2023,INTC,MANUAL,USD,1.21,3,dividend,0,Intel Corporation
10-03-2023,PG,MANUAL,USD,148.97,22,buy,4.95,Procter & Gamble
13-03-2023,TSLA,MANUAL,USD,239.29,1,sell,1.0,Tesla Inc
13-03-2023,VTI,MANUAL,USD,230.76,7,buy,2.5,Vanguard Total Stock
14-03-2023,AAPL,MANUAL,USD,218.81,5,buy,4.95,Apple Inc
20-03-2023,LLY,MANUAL,USD,544.19,4,buy,4.95,Eli Lilly
20-03-2023,GLD,MANUAL,USD,195.64,18,buy,1.0,SPDR Gold Shares
22-03-2023,JPM,MANUAL,USD,160.08,5,buy,2.5,JPMorgan Chase
22-03-2023,VOO,MANUAL,USD,452.06,2,buy,4.95,Vanguard S&P 500 ETF
23-03-2023,GOOGL,MANUAL,USD,128.22,9,sell,0,Alphabet Inc
24-03-2023,NFLX,MANUAL,USD,545.59,18,buy,4.95,Netflix Inc
27-03-2023,NVDA,MANUAL,USD,727.96,1,buy,0,NVIDIA Corporation
27-03-2023,INTC,MANUAL,USD,31.45,3,buy,2.5,Intel Corporation
27-03-2023,KO,MANUAL,USD,59.29,6,buy,4.95,Coca-Cola Co
27-03-2023,DIS,MANUAL,USD,108.89,4,buy,0,Walt Disney Co
27-03-2023,GOOGL,MANUAL,USD,178.84,17,buy,0,Alphabet Inc
30-03-2023,AAPL,MANUAL,USD,190.68,20,buy,1.0,Apple Inc
31-03-2023,BRK.B,MANUAL,USD,415.38,19,buy,0,Berkshire Hathaway B
03-04-2023,DIS,MANUAL,USD,99.08,25,buy,0,Walt Disney Co
03-04-2023,GLD,MANUAL,USD,205.98,13,buy,1.0,SPDR Gold Shares
06-04-2023,META,MANUAL,USD,534.56,21,buy,2.5,Meta Platforms Inc
06-04-2023,TSLA,MANUAL,USD,151.93,6,buy,0,Tesla Inc
06-04-2023,XLE,MANUAL,USD,92.02,17,buy,0,Energy Select SPDR
07-04-2023,WMT,MANUAL,USD,156.9,23,buy,1.0,Walmart Inc
10-04-2023,BRK.B,MANUAL,USD,359.08,8,sell,1.0,Berkshire Hathaway B
10-04-2023,XLK,MANUAL,USD,213.96,12,buy,0,Technology Select SPDR
10-04-2023,NFLX,MANUAL,USD,519.52,7,buy,1.0,Netflix Inc
11-04-2023,MSFT,MANUAL,USD,389.67,4,buy,4.95,Microsoft Corporation
12-04-2023,NVDA,MANUAL,USD,735.04,21,buy,4.95,NVIDIA Corporation
12-04-2023,BND,MANUAL,USD,72.16,21,buy,0,Vanguard Total Bond
13-04-2023,AAPL,MANUAL,USD,213.74,10,buy,1.0,Apple Inc
13-04-2023,VOO,MANUAL,USD,418.99,10,buy,4.95,Vanguard S&P 500 ETF
17-04-2023,UNH,MANUAL,USD,506.02,11,buy,0,UnitedHealth Group
17-04-2023,DIS,MANUAL,USD,108.44,8,buy,4.95,Walt Disney Co
17-04-2023,ADBE,MANUAL,USD,526.04,13,buy,4.95,Adobe Inc
18-04-2023,VWO,MANUAL,USD,45.75,4,buy,4.95,Vanguard Emerging Mkts
20-04-2023,EFA,MANUAL,USD,72.15,2,buy,2.5,iShares MSCI EAFE
24-04-2023,VWO,MANUAL,USD,43.39,13,buy,1.0,Vanguard Emerging Mkts
24-04-2023,V,MANUAL,USD,240.58,16,buy,0,Visa Inc
24-04-2023,IWM,MANUAL,USD,221.83,18,buy,4.95,iShares Russell 2000
24-04-2023,QQQ,MANUAL,USD,383.69,3,buy,4.95,Invesco QQQ Trust
25-04-2023,VGT,MANUAL,USD,0.52,25,dividend,0,Vanguard Info Tech ETF
27-04-2023,XLK,MANUAL,USD,216.48,14,buy,0,Technology Select SPDR
28-04-2023,XLK,MANUAL,USD,181.31,24,buy,0,Technology Select SPDR
01-05-2023,JNJ,MANUAL,USD,1.57,3,dividend,0,Johnson & Johnson
01-05-2023,AMD,MANUAL,USD,90.42,25,buy,0,AMD Inc
05-05-2023,QQQ,MANUAL,USD,462.11,22,buy,4.95,Invesco QQQ Trust
08-05-2023,NVDA,MANUAL,USD,0.27,16,dividend,0,NVIDIA Corporation
08-05-2023,PEP,MANUAL,USD,1.31,30,dividend,1.0,PepsiCo Inc
08-05-2023,XOM,MANUAL,USD,97.19,7,buy,4.95,Exxon Mobil
09-05-2023,BRK.B,MANUAL,USD,406.3,18,buy,4.95,Berkshire Hathaway B
09-05-2023,SPY,MANUAL,USD,448.14,3,buy,1.0,SPDR S&P 500 ETF
10-05-2023,XLF,MANUAL,USD,41.35,11,buy,4.95,Financial Select SPDR
10-05-2023,SCHD,MANUAL,USD,77.65,9,buy,0,Schwab Dividend ETF
11-05-2023,XLE,MANUAL,USD,1.04,6,dividend,2.5,Energy Select SPDR
12-05-2023,AMD,MANUAL,USD,149.25,4,sell,4.95,AMD Inc
15-05-2023,PG,MANUAL,USD,150.37,14,buy,0,Procter & Gamble
16-05-2023,BRK.B,MANUAL,USD,372.06,22,buy,0,Berkshire Hathaway B
22-05-2023,JPM,MANUAL,USD,156.52,13,buy,1.0,JPMorgan Chase
22-05-2023,MA,MANUAL,USD,447.79,15,buy,0,Mastercard Inc
22-05-2023,MSFT,MANUAL,USD,301.79,2,buy,0,Microsoft Corporation
23-05-2023,COST,MANUAL,USD,725.85,15,buy,0,Costco Wholesale
23-05-2023,GOOGL,MANUAL,USD,1.92,8,dividend,1.0,Alphabet Inc
23-05-2023,VGT,MANUAL,USD,479.88,1,buy,4.95,Vanguard Info Tech ETF
23-05-2023,HD,MANUAL,USD,318.24,15,buy,0,Home Depot Inc
24-05-2023,CRM,MANUAL,USD,290.09,8,sell,2.5,Salesforce Inc
24-05-2023,MRK,MANUAL,USD,126.31,10,buy,2.5,Merck & Co
24-05-2023,JNJ,MANUAL,USD,160.62,9,buy,4.95,Johnson & Johnson
29-05-2023,AGG,MANUAL,USD,98.87,8,buy,0,iShares Aggregate Bond
29-05-2023,VXUS,MANUAL,USD,54.72,22,buy,0,Vanguard Intl Stock
31-05-2023,TSLA,MANUAL,USD,1.38,26,dividend,0,Tesla Inc
01-06-2023,BND,MANUAL,USD,71.19,23,buy,1.0,Vanguard Total Bond
01-06-2023,GOOGL,MANUAL,USD,131.29,22,buy,2.5,Alphabet Inc
02-06-2023,ARKK,MANUAL,USD,36.64,21,buy,0,ARK Innovation ETF
05-06-2023,GLD,MANUAL,USD,199.75,5,buy,1.0,SPDR Gold Shares
05-06-2023,KO,MANUAL,USD,59.49,13,buy,4.95,Coca-Cola Co
05-06-2023,NFLX,MANUAL,USD,406.54,21,buy,0,Netflix Inc
05-06-2023,EFA,MANUAL,USD,72.24,2,sell,0,iShares MSCI EAFE
07-06-2023,MA,MANUAL,USD,407.47,20,buy,2.5,Mastercard Inc
