Date,Code,DataSource,Currency,Price,Quantity,Action,Fee,Note
03-01-2024,VOO,MANUAL,USD,437.00,8,buy,0,Vanguard S&P 500 ETF
08-01-2024,VTI,MANUAL,USD,236.00,10,buy,4.95,Vanguard Total Stock Market
11-01-2024,QQQ,MANUAL,USD,408.00,6,buy,0,Invesco QQQ Trust
16-01-2024,VXUS,MANUAL,USD,53.50,30,buy,4.95,Vanguard Intl Stock ETF
19-01-2024,EFA,MANUAL,USD,73.80,20,buy,1.00,iShares MSCI EAFE ETF
24-01-2024,VWO,MANUAL,USD,40.20,40,buy,0,Vanguard Emerging Markets
30-01-2024,BND,MANUAL,USD,71.50,25,buy,4.95,Vanguard Total Bond ETF
05-02-2024,AGG,MANUAL,USD,96.80,18,buy,0,iShares Core US Aggregate Bond
08-02-2024,GLD,MANUAL,USD,188.00,10,buy,4.95,SPDR Gold Shares
13-02-2024,VOO,MANUAL,USD,457.00,5,sell,0,S&P 500 ETF - gain
16-02-2024,QQQ,MANUAL,USD,435.00,4,sell,4.95,QQQ - gain
21-02-2024,VTI,MANUAL,USD,248.00,6,sell,1.00,Total Stock - gain
26-02-2024,GLD,MANUAL,USD,193.00,6,sell,0,Gold - gain
01-03-2024,VXUS,MANUAL,USD,55.00,20,sell,4.95,Intl Stock - gain
06-03-2024,EWJ,MANUAL,USD,66.50,25,buy,0,iShares MSCI Japan ETF
11-03-2024,EWG,MANUAL,USD,29.00,40,buy,4.95,iShares MSCI Germany ETF
14-03-2024,FXI,MANUAL,USD,24.80,50,buy,1.00,iShares China Large-Cap ETF
19-03-2024,EWZ,MANUAL,USD,33.50,35,buy,0,iShares MSCI Brazil ETF
22-03-2024,INDA,MANUAL,USD,51.00,25,buy,4.95,iShares MSCI India ETF
27-03-2024,VWO,MANUAL,USD,0.08,40,dividend,0,Vanguard EM dividend
02-04-2024,EWJ,MANUAL,USD,62.00,25,sell,0,Japan ETF - sold at loss
05-04-2024,EWG,MANUAL,USD,27.50,40,sell,4.95,Germany ETF - sold at loss
10-04-2024,FXI,MANUAL,USD,26.80,30,sell,1.00,China ETF - partial gain
15-04-2024,EWZ,MANUAL,USD,30.00,35,sell,0,Brazil ETF - sold at loss
18-04-2024,INDA,MANUAL,USD,48.00,25,sell,4.95,India ETF - sold at loss
