Date,Code,DataSource,Currency,Price,Quantity,Action,Fee,Note
03-01-2024,AAPL,MANUAL,USD,185.99,10,buy,4.95,Apple Inc
03-01-2024,MSFT,MANUAL,USD,374.58,8,buy,4.95,Microsoft Corporation
04-01-2024,GOOGL,MANUAL,USD,140.25,12,buy,0,Alphabet Inc Class A
05-01-2024,AMZN,MANUAL,USD,153.26,15,buy,4.95,Amazon.com Inc
08-01-2024,NVDA,MANUAL,USD,480.04,6,buy,0,NVIDIA Corporation
09-01-2024,META,MANUAL,USD,358.66,7,buy,4.95,Meta Platforms Inc
10-01-2024,TSLA,MANUAL,USD,231.44,10,buy,0,Tesla Inc
11-01-2024,BRK.B,MANUAL,USD,362.43,5,buy,4.95,Berkshire Hathaway Class B
12-01-2024,JPM,MANUAL,USD,172.23,12,buy,0,JPMorgan Chase & Co
15-01-2024,V,MANUAL,USD,268.94,8,buy,4.95,Visa Inc Class A
16-01-2024,JNJ,MANUAL,USD,158.72,10,buy,0,Johnson & Johnson
17-01-2024,UNH,MANUAL,USD,537.12,3,buy,4.95,UnitedHealth Group Inc
18-01-2024,HD,MANUAL,USD,348.56,5,buy,0,Home Depot Inc
19-01-2024,PG,MANUAL,USD,148.93,10,buy,4.95,Procter & Gamble Co
22-01-2024,MA,MANUAL,USD,426.87,4,buy,0,Mastercard Inc Class A
23-01-2024,XOM,MANUAL,USD,101.34,15,buy,4.95,Exxon Mobil Corporation
24-01-2024,LLY,MANUAL,USD,620.38,3,buy,0,Eli Lilly and Company
25-01-2024,ABBV,MANUAL,USD,165.23,8,buy,4.95,AbbVie Inc
26-01-2024,COST,MANUAL,USD,682.45,2,buy,0,Costco Wholesale Corp
29-01-2024,MRK,MANUAL,USD,122.56,12,buy,4.95,Merck & Co Inc
30-01-2024,AVGO,MANUAL,USD,1185.32,2,buy,0,Broadcom Inc
31-01-2024,PEP,MANUAL,USD,169.87,8,buy,4.95,PepsiCo Inc
01-02-2024,TMO,MANUAL,USD,542.18,3,buy,0,Thermo Fisher Scientific
02-02-2024,ADBE,MANUAL,USD,612.34,3,buy,4.95,Adobe Inc
05-02-2024,CRM,MANUAL,USD,274.56,6,buy,0,Salesforce Inc
06-02-2024,AMD,MANUAL,USD,169.43,10,buy,4.95,Advanced Micro Devices
