Date,Code,DataSource,Currency,Price,Quantity,Action,Fee,Note
05-01-2015,PTON,YAHOO,USD,67.88,44,sell,4.95,Peloton
06-01-2015,ZM,YAHOO,USD,87.73,32,sell,0,Zoom Video
12-01-2015,MRNA,YAHOO,USD,225.93,17,buy,0,Moderna
12-01-2015,PTON,YAHOO,USD,27.5,24,sell,9.95,Peloton
13-01-2015,CRSP,YAHOO,USD,64.97,49,buy,0,CRISPR Therapeutics
14-01-2015,MRNA,YAHOO,USD,396.12,39,buy,9.95,Moderna
19-01-2015,EDIT,YAHOO,USD,2.98,48,dividend,0,Editas Medicine dividend
19-01-2015,EDIT,YAHOO,USD,3.2,29,dividend,0,Editas Medicine dividend
20-01-2015,BNTX,YAHOO,USD,380.7,54,buy,1.0,BioNTech
23-01-2015,EDIT,YAHOO,USD,2.1,56,sell,4.95,Editas Medicine
26-01-2015,PTON,YAHOO,USD,16.71,79,buy,1.0,Peloton
26-01-2015,MRNA,YAHOO,USD,129.29,6,buy,1.0,Moderna
29-01-2015,EDIT,YAHOO,USD,59.98,48,buy,0,Editas Medicine
02-02-2015,BNTX,YAHOO,USD,334.66,76,buy,0,BioNTech
02-02-2015,MRNA,YAHOO,USD,128.13,25,sell,1.0,Moderna
16-02-2015,ZM,YAHOO,USD,238.79,9,sell,1.0,Zoom Video
16-02-2015,PTON,YAHOO,USD,98.27,4,buy,0,Peloton
18-02-2015,BNTX,YAHOO,USD,92.74,1,sell,0,BioNTech
20-02-2015,ZM,YAHOO,USD,147.34,68,sell,0,Zoom Video
23-02-2015,ZM,YAHOO,USD,188.55,56,sell,0,Zoom Video
27-02-2015,MRNA,YAHOO,USD,126.58,63,buy,4.95,Moderna
06-03-2015,CRSP,YAHOO,USD,132.97,64,buy,0,CRISPR Therapeutics
09-03-2015,Account Fee,MANUAL,USD,0,0,fee,48.24,Quarterly fee
09-03-2015,ZM,YAHOO,USD,1.26,13,dividend,0,Zoom Video dividend
11-03-2015,BYND,YAHOO,USD,11.15,28,buy,1.0,Beyond Meat
19-03-2015,CRSP,YAHOO,USD,49.47,47,sell,9.95,CRISPR Therapeutics
23-03-2015,ZM,YAHOO,USD,69.84,40,sell,9.95,Zoom Video
24-03-2015,ZM,YAHOO,USD,105.45,67,sell,0,Zoom Video
