Date,Code,DataSource,Currency,Price,Quantity,Action,Fee,Note
01-05-2015,LI,YAHOO,USD,14.2,42,sell,9.95,Li Auto
01-08-2015,TME,YAHOO,USD,12.93,74,buy,9.95,Tencent Music
01-12-2015,BABA,YAHOO,USD,51.83,62,sell,0,Alibaba Group
01-12-2015,LI,YAHOO,USD,14.97,64,sell,0,Li Auto
01-21-2015,PDD,YAHOO,USD,0.35,8,dividend,0,PDD Holdings dividend
01-22-2015,BIDU,YAHOO,USD,0.56,19,dividend,0,Baidu Inc dividend
01-26-2015,NIO,YAHOO,USD,30.19,15,buy,1.0,NIO Inc
01-28-2015,BABA,YAHOO,USD,2.67,22,dividend,0,Alibaba Group dividend
02-03-2015,PDD,YAHOO,USD,1.58,12,dividend,0,PDD Holdings dividend
02-06-2015,BIDU,YAHOO,USD,113.54,29,buy,9.95,Baidu Inc
02-19-2015,XPEV,YAHOO,USD,1.93,37,dividend,0,XPeng Inc dividend
02-20-2015,PDD,YAHOO,USD,50.07,62,sell,1.0,PDD Holdings
02-20-2015,BIDU,YAHOO,USD,186.29,31,buy,4.95,Baidu Inc
02-20-2015,LI,YAHOO,USD,32.25,65,buy,9.95,Li Auto
03-02-2015,LI,YAHOO,USD,29.32,15,buy,9.95,Li Auto
03-09-2015,PDD,YAHOO,USD,155.77,26,buy,0,PDD Holdings
03-09-2015,Account Fee,MANUAL,USD,0,0,fee,23.72,Quarterly fee
03-16-2015,NIO,YAHOO,USD,13.66,61,sell,4.95,NIO Inc
03-16-2015,JD,YAHOO,USD,2.18,46,dividend,0,JD.com dividend
03-27-2015,NIO,YAHOO,USD,2.05,20,dividend,0,NIO Inc dividend
04-07-2015,BIDU,YAHOO,USD,153.66,8,buy,0,Baidu Inc
04-07-2015,BABA,YAHOO,USD,251.59,33,buy,4.95,Alibaba Group
04-13-2015,BIDU,YAHOO,USD,81.01,6,sell,0,Baidu Inc
04-13-2015,JD,YAHOO,USD,61.96,37,buy,0,JD.com
04-15-2015,TME,YAHOO,USD,12.51,36,buy,1.0,Tencent Music
04-20-2015,LI,YAHOO,USD,15.15,45,sell,9.95,Li Auto
04-20-2015,JD,YAHOO,USD,20.74,68,sell,1.0,JD.com
