Date,Code,DataSource,Currency,Price,Quantity,Action,Fee,Note
01-05-2015,HOOD,MANUAL,USD,21.26,55,sell,0,Robinhood
01-09-2015,RIOT,MANUAL,USD,12.07,11,sell,0,Riot Platforms
01-12-2015,RIOT,MANUAL,USD,7.17,48,sell,0,Riot Platforms
01-15-2015,MARA,MANUAL,USD,26.29,3,buy,9.95,Marathon Digital
01-22-2015,RIOT,MANUAL,USD,11.9,20,buy,0,Riot Platforms
01-22-2015,MSTR,MANUAL,USD,593.77,42,buy,0,MicroStrategy
01-23-2015,AFRM,MANUAL,USD,3.16,19,dividend,0,Affirm Holdings dividend
02-02-2015,RIOT,MANUAL,USD,20.57,60,buy,0,Riot Platforms
02-02-2015,RIOT,MANUAL,USD,3.32,14,sell,9.95,Riot Platforms
02-05-2015,MARA,MANUAL,USD,15.9,15,sell,0,Marathon Digital
02-09-2015,RIOT,MANUAL,USD,2.82,39,dividend,0,Riot Platforms dividend
02-09-2015,SQ,MANUAL,USD,61.06,1,sell,0,Block Inc
02-11-2015,PYPL,MANUAL,USD,1.74,38,dividend,0,PayPal dividend
02-11-2015,MARA,MANUAL,USD,0.1,28,dividend,0,Marathon Digital dividend
02-17-2015,Account Fee,MANUAL,USD,0,0,fee,11.06,Quarterly fee
02-19-2015,COIN,MANUAL,USD,331.84,46,buy,1.0,Coinbase
02-20-2015,PYPL,MANUAL,USD,1.39,38,dividend,0,PayPal dividend
02-23-2015,AFRM,MANUAL,USD,77.89,46,buy,1.0,Affirm Holdings
03-02-2015,SQ,MANUAL,USD,226.43,78,buy,0,Block Inc
03-03-2015,SQ,MANUAL,USD,127.72,35,buy,1.0,Block Inc
03-06-2015,PYPL,MANUAL,USD,137.75,54,buy,1.0,PayPal
03-11-2015,PYPL,MANUAL,USD,0.25,36,dividend,0,PayPal dividend
03-16-2015,HOOD,MANUAL,USD,7.25,22,sell,9.95,Robinhood
03-23-2015,HOOD,MANUAL,USD,3.47,18,dividend,0,Robinhood dividend
03-23-2015,RIOT,MANUAL,USD,12.45,72,sell,1.0,Riot Platforms
03-23-2015,Account Fee,MANUAL,USD,0,0,fee,44.83,Quarterly fee
03-23-2015,RIOT,MANUAL,USD,5.78,19,sell,1.0,Riot Platforms
04-02-2015,AFRM,MANUAL,USD,126.1,54,buy,0,Affirm Holdings
04-03-2015,MSTR,MANUAL,USD,390.41,53,buy,4.95,MicroStrategy
04-03-2015,SQ,MANUAL,USD,38.4,59,sell,0,Block Inc
04-06-2015,AFRM,MANUAL,USD,97.82,30,buy,0,Affirm Holdings
04-06-2015,MSTR,MANUAL,USD,687.32,50,buy,0,MicroStrategy
04-07-2015,RIOT,MANUAL,USD,16.69,72,buy,9.95,Riot Platforms
04-08-2015,MSTR,MANUAL,USD,749.22,49,buy,9.95,MicroStrategy
04-13-2015,MSTR,MANUAL,USD,0.45,19,dividend,0,MicroStrategy dividend
04-15-2015,HOOD,MANUAL,USD,29.31,21,buy,1.0,Robinhood
04-15-2015,HOOD,MANUAL,USD,20.02,25,buy,0,Robinhood
04-20-2015,RIOT,MANUAL,USD,23.51,26,buy,4.95,Riot Platforms
04-20-2015,Account Fee,MANUAL,USD,0,0,fee,46.46,Quarterly fee
04-21-2015,HOOD,MANUAL,USD,17.06,6,buy,0,Robinhood
04-22-2015,Account Fee,MANUAL,USD,0,0,fee,14.67,Quarterly fee
