Date,Code,DataSource,Currency,Price,Quantity,Action,Fee,Note
01-05-2015,SLB,YAHOO,USD,2.24,11,dividend,0,Schlumberger dividend
01-05-2015,Account Fee,MANUAL,USD,0,0,fee,22.44,Quarterly fee
01-12-2015,OXY,YAHOO,USD,12.82,28,sell,0,Occidental Petroleum
01-12-2015,OXY,YAHOO,USD,68.99,55,buy,0,Occidental Petroleum
01-12-2015,PLUG,YAHOO,USD,18.54,31,sell,1.0,Plug Power
01-12-2015,Account Fee,MANUAL,USD,0,0,fee,29.96,Quarterly fee
01-14-2015,MRO,YAHOO,USD,27.98,79,buy,9.95,Marathon Oil
01-16-2015,PLUG,YAHOO,USD,28.69,79,buy,1.0,Plug Power
01-21-2015,MRO,YAHOO,USD,21.17,71,buy,1.0,Marathon Oil
01-26-2015,PLUG,YAHOO,USD,0.68,18,sell,0,Plug Power
02-02-2015,MRO,YAHOO,USD,9.52,64,sell,9.95,Marathon Oil
02-02-2015,OXY,YAHOO,USD,12.93,20,sell,0,Occidental Petroleum
02-03-2015,HAL,YAHOO,USD,9.86,63,sell,4.95,Halliburton
02-05-2015,MRO,YAHOO,USD,22.93,71,buy,1.0,Marathon Oil
02-12-2015,OXY,YAHOO,USD,70.03,16,buy,0,Occidental Petroleum
03-04-2015,MRO,YAHOO,USD,26.03,55,buy,9.95,Marathon Oil
03-06-2015,SLB,YAHOO,USD,12.49,13,sell,0,Schlumberger
03-09-2015,DVN,YAHOO,USD,20.79,62,sell,9.95,Devon Energy
03-16-2015,DVN,YAHOO,USD,9.54,28,sell,0,Devon Energy
03-18-2015,APA,YAHOO,USD,5.19,27,sell,9.95,APA Corp
03-19-2015,APA,YAHOO,USD,0.48,9,dividend,0,APA Corp dividend
03-24-2015,SLB,YAHOO,USD,11.84,11,sell,0,Schlumberger
03-24-2015,MRO,YAHOO,USD,10.01,22,sell,0,Marathon Oil
03-25-2015,OXY,YAHOO,USD,70.68,45,buy,1.0,Occidental Petroleum
03-27-2015,FSLR,YAHOO,USD,203.76,40,buy,0,First Solar
04-02-2015,HAL,YAHOO,USD,37.56,24,buy,0,Halliburton
04-09-2015,HAL,YAHOO,USD,17.67,36,sell,1.0,Halliburton
