Date,Code,DataSource,Currency,Price,Quantity,Action,Fee,Note
07-01-2015,BB,YAHOO,USD,2.37,12,dividend,0,BlackBerry dividend
09-01-2015,GME,YAHOO,USD,37.67,40,buy,0,GameStop
09-01-2015,SOFI,YAHOO,USD,12.12,6,buy,0,SoFi Technologies
12-01-2015,CLOV,YAHOO,USD,2.69,1,dividend,0,Clover Health dividend
13-01-2015,BBBY,YAHOO,USD,0.73,35,buy,0,Bed Bath Beyond
19-01-2015,PLTR,YAHOO,USD,14.41,6,buy,9.95,Palantir
19-01-2015,GME,YAHOO,USD,102.11,41,sell,1.0,GameStop
23-01-2015,AMC,YAHOO,USD,8.89,6,sell,9.95,AMC Entertainment
28-01-2015,BBBY,YAHOO,USD,0.62,53,sell,4.95,Bed Bath Beyond
29-01-2015,WISH,YAHOO,USD,18.52,78,buy,0,ContextLogic
29-01-2015,PLTR,YAHOO,USD,27.31,19,buy,0,Palantir
30-01-2015,BB,YAHOO,USD,1.66,35,sell,0,BlackBerry
02-02-2015,Account Fee,MANUAL,USD,0,0,fee,16.01,Quarterly fee
02-02-2015,PLTR,YAHOO,USD,1.42,49,dividend,0,Palantir dividend
06-02-2015,CLOV,YAHOO,USD,6.53,10,buy,1.0,Clover Health
09-02-2015,CLOV,YAHOO,USD,5.27,25,buy,0,Clover Health
10-02-2015,BBBY,YAHOO,USD,2.91,52,buy,9.95,Bed Bath Beyond
16-02-2015,BB,YAHOO,USD,2.19,25,dividend,0,BlackBerry dividend
16-02-2015,GME,YAHOO,USD,219.77,10,buy,0,GameStop
16-02-2015,CLOV,YAHOO,USD,10.47,18,buy,0,Clover Health
19-02-2015,BB,YAHOO,USD,12.48,73,buy,4.95,BlackBerry
23-02-2015,CLOV,YAHOO,USD,3.66,29,sell,9.95,Clover Health
02-03-2015,BB,YAHOO,USD,0.93,26,dividend,0,BlackBerry dividend
06-03-2015,GME,YAHOO,USD,222.34,25,buy,0,GameStop
11-03-2015,SOFI,YAHOO,USD,18.75,47,buy,4.95,SoFi Technologies
13-03-2015,WISH,YAHOO,USD,11.09,58,buy,0,ContextLogic
16-03-2015,WISH,YAHOO,USD,3.28,72,sell,0,ContextLogic
16-03-2015,BBBY,YAHOO,USD,3.33,25,dividend,0,Bed Bath Beyond dividend
20-03-2015,BB,YAHOO,USD,8.73,2,buy,0,BlackBerry
23-03-2015,WISH,YAHOO,USD,1.62,47,sell,4.95,ContextLogic
26-03-2015,AMC,YAHOO,USD,16.21,35,buy,0,AMC Entertainment
26-03-2015,Account Fee,MANUAL,USD,0,0,fee,42.62,Quarterly fee
27-03-2015,SOFI,YAHOO,USD,6.9,75,sell,0,SoFi Technologies
30-03-2015,GME,YAHOO,USD,122.75,38,buy,9.95,GameStop
02-04-2015,BBBY,YAHOO,USD,5.58,72,sell,0,Bed Bath Beyond
06-04-2015,BBBY,YAHOO,USD,18.58,9,buy,9.95,Bed Bath Beyond
06-04-2015,BBBY,YAHOO,USD,1.7,8,dividend,0,Bed Bath Beyond dividend
09-04-2015,SOFI,YAHOO,USD,15.05,34,buy,0,SoFi Technologies
10-04-2015,BB,YAHOO,USD,4.87,59,sell,0,BlackBerry
15-04-2015,SOFI,YAHOO,USD,5.27,57,sell,4.95,SoFi Technologies
16-04-2015,WISH,YAHOO,USD,3.46,50,dividend,0,ContextLogic dividend
20-04-2015,WISH,YAHOO,USD,8.07,17,sell,4.95,ContextLogic
23-04-2015,SOFI,YAHOO,USD,6.53,16,sell,0,SoFi Technologies
27-04-2015,CLOV,YAHOO,USD,2.52,9,buy,1.0,Clover Health
11-05-2015,Account Fee,MANUAL,USD,0,0,fee,35.25,Quarterly fee
11-05-2015,SOFI,YAHOO,USD,18.51,20,buy,1.0,SoFi Technologies
18-05-2015,GME,YAHOO,USD,28.49,41,sell,9.95,GameStop
20-05-2015,CLOV,YAHOO,USD,9.17,29,buy,1.0,Clover Health
20-05-2015,BB,YAHOO,USD,3.73,50,sell,0,BlackBerry
21-05-2015,SOFI,YAHOO,USD,19.95,57,buy,0,SoFi Technologies
27-05-2015,CLOV,YAHOO,USD,2.07,59,sell,0,Clover Health
28-05-2015,BB,YAHOO,USD,13.4,45,buy,9.95,BlackBerry
01-06-2015,GME,YAHOO,USD,41.77,41,sell,0,GameStop
08-06-2015,BBBY,YAHOO,USD,4.19,55,sell,4.95,Bed Bath Beyond
08-06-2015,BB,YAHOO,USD,13.23,56,buy,0,BlackBerry
08-06-2015,BBBY,YAHOO,USD,3.7,30,buy,4.95,Bed Bath Beyond
19-06-2015,BBBY,YAHOO,USD,16.93,1,buy,0,Bed Bath Beyond
22-06-2015,AMC,YAHOO,USD,26.88,43,buy,0,AMC Entertainment
22-06-2015,Account Fee,MANUAL,USD,0,0,fee,37.2,Quarterly fee
24-06-2015,BBBY,YAHOO,USD,21.71,48,buy,0,Bed Bath Beyond
29-06-2015,SOFI,YAHOO,USD,3.7,69,sell,0,SoFi Technologies
29-06-2015,AMC,YAHOO,USD,30.34,28,buy,9.95,AMC Entertainment
06-07-2015,CLOV,YAHOO,USD,9.06,53,buy,4.95,Clover Health
16-07-2015,CLOV,YAHOO,USD,4.01,36,buy,1.0,Clover Health
20-07-2015,CLOV,YAHOO,USD,1.11,12,dividend,0,Clover Health dividend
21-07-2015,AMC,YAHOO,USD,29.26,80,buy,0,AMC Entertainment
27-07-2015,GME,YAHOO,USD,23.62,60,sell,0,GameStop
27-07-2015,PLTR,YAHOO,USD,7.17,62,sell,1.0,Palantir
31-07-2015,GME,YAHOO,USD,140.46,2,buy,9.95,GameStop
10-08-2015,CLOV,YAHOO,USD,7.08,7,buy,1.0,Clover Health
10-08-2015,Account Fee,MANUAL,USD,0,0,fee,14.12,Quarterly fee
13-08-2015,GME,YAHOO,USD,128.3,59,buy,0,GameStop
14-08-2015,GME,YAHOO,USD,186.54,17,buy,9.95,GameStop
14-08-2015,SOFI,YAHOO,USD,12.29,17,buy,0,SoFi Technologies
