Date,Code,DataSource,Currency,Price,Quantity,Action,Fee,Note
01-06-2015,LCID,MANUAL,USD,5.7,72,sell,9.95,Lucid Group
01-12-2015,DNA,MANUAL,USD,7.45,1,buy,0,Ginkgo Bioworks
01-12-2015,SPCE,MANUAL,USD,5.53,33,sell,0,Virgin Galactic
01-20-2015,LCID,MANUAL,USD,14.05,18,sell,0,Lucid Group
01-21-2015,OPEN,MANUAL,USD,3.09,32,sell,9.95,Opendoor
01-22-2015,DKNG,MANUAL,USD,9.03,59,sell,0,DraftKings
01-26-2015,DNA,MANUAL,USD,0.85,2,sell,0,Ginkgo Bioworks
01-26-2015,CHPT,MANUAL,USD,8.66,65,buy,4.95,ChargePoint
02-02-2015,CHPT,MANUAL,USD,10.3,39,buy,0,ChargePoint
02-02-2015,SPCE,MANUAL,USD,2.5,9,dividend,0,Virgin Galactic dividend
02-05-2015,JOBY,MANUAL,USD,3.43,19,sell,4.95,Joby Aviation
02-09-2015,DKNG,MANUAL,USD,20.65,43,sell,0,DraftKings
02-13-2015,OPEN,MANUAL,USD,5.12,56,sell,0,Opendoor
02-18-2015,JOBY,MANUAL,USD,13.79,5,buy,0,Joby Aviation
02-19-2015,JOBY,MANUAL,USD,13.06,26,buy,9.95,Joby Aviation
02-23-2015,DKNG,MANUAL,USD,62.67,73,buy,1.0,DraftKings
02-23-2015,DNA,MANUAL,USD,1.32,65,sell,0,Ginkgo Bioworks
02-23-2015,DNA,MANUAL,USD,2.51,75,sell,0,Ginkgo Bioworks
02-23-2015,LCID,MANUAL,USD,42.66,22,buy,0,Lucid Group
02-25-2015,DNA,MANUAL,USD,2.19,30,buy,9.95,Ginkgo Bioworks
02-26-2015,JOBY,MANUAL,USD,1.3,80,sell,0,Joby Aviation
03-05-2015,RIVN,MANUAL,USD,47.7,35,buy,1.0,Rivian Automotive
03-09-2015,LCID,MANUAL,USD,13.07,74,sell,0,Lucid Group
03-09-2015,RIVN,MANUAL,USD,0.38,19,dividend,0,Rivian Automotive dividend
03-10-2015,RIVN,MANUAL,USD,34.03,76,buy,1.0,Rivian Automotive
03-16-2015,SPCE,MANUAL,USD,1.12,55,sell,0,Virgin Galactic
03-16-2015,CHPT,MANUAL,USD,7.66,75,sell,9.95,ChargePoint
03-30-2015,DKNG,MANUAL,USD,49.44,33,buy,0,DraftKings
04-01-2015,JOBY,MANUAL,USD,8.37,66,buy,1.0,Joby Aviation
04-13-2015,OPEN,MANUAL,USD,10.83,17,buy,1.0,Opendoor
04-21-2015,DNA,MANUAL,USD,2.35,42,dividend,0,Ginkgo Bioworks dividend
04-24-2015,SPCE,MANUAL,USD,5.79,24,sell,0,Virgin Galactic
04-24-2015,LCID,MANUAL,USD,5.56,3,buy,0,Lucid Group
04-30-2015,JOBY,MANUAL,USD,2.71,4,sell,0,Joby Aviation
05-01-2015,Account Fee,MANUAL,USD,0,0,fee,40.73,Quarterly fee
05-04-2015,RIVN,MANUAL,USD,2.65,30,dividend,0,Rivian Automotive dividend
05-05-2015,OPEN,MANUAL,USD,2.36,47,sell,0,Opendoor
05-06-2015,DNA,MANUAL,USD,10.3,26,buy,9.95,Ginkgo Bioworks
05-12-2015,OPEN,MANUAL,USD,0.87,21,dividend,0,Opendoor dividend
05-13-2015,OPEN,MANUAL,USD,18.38,72,buy,0,Opendoor
05-18-2015,LCID,MANUAL,USD,30.97,47,buy,4.95,Lucid Group
05-18-2015,DNA,MANUAL,USD,1.95,15,dividend,0,Ginkgo Bioworks dividend
05-18-2015,CHPT,MANUAL,USD,28.09,53,buy,9.95,ChargePoint
05-22-2015,OPEN,MANUAL,USD,6.14,54,buy,4.95,Opendoor
05-28-2015,RIVN,MANUAL,USD,1.88,44,dividend,0,Rivian Automotive dividend
06-02-2015,SPCE,MANUAL,USD,1.24,37,dividend,0,Virgin Galactic dividend
06-03-2015,DKNG,MANUAL,USD,19.12,5,sell,4.95,DraftKings
06-05-2015,DKNG,MANUAL,USD,47.9,27,buy,0,DraftKings
06-08-2015,DNA,MANUAL,USD,6.32,66,buy,0,Ginkgo Bioworks
06-09-2015,DKNG,MANUAL,USD,19.97,44,sell,4.95,DraftKings
06-10-2015,RIVN,MANUAL,USD,25.46,28,sell,0,Rivian Automotive
06-15-2015,DKNG,MANUAL,USD,20.82,8,sell,1.0,DraftKings
06-15-2015,OPEN,MANUAL,USD,2.78,24,dividend,0,Opendoor dividend
06-15-2015,DKNG,MANUAL,USD,34.11,71,buy,0,DraftKings
06-19-2015,OPEN,MANUAL,USD,5.03,47,buy,0,Opendoor
