Date,Code,DataSource,Currency,Price,Quantity,Action,Fee,Note
01-07-2015,KO,YAHOO,USD,35.44,33,buy,9.95,Coca-Cola
01-19-2015,PG,YAHOO,USD,200.68,18,sell,0,Procter & Gamble
01-22-2015,XOM,YAHOO,USD,2.39,27,dividend,0,Exxon Mobil dividend
01-22-2015,PEP,YAHOO,USD,1.51,1,dividend,0,PepsiCo dividend
01-26-2015,JNJ,YAHOO,USD,80.38,51,buy,9.95,Johnson & Johnson
01-26-2015,KO,YAHOO,USD,59.72,17,sell,4.95,Coca-Cola
01-26-2015,MMM,YAHOO,USD,49.93,33,buy,0,3M Company
01-28-2015,JNJ,YAHOO,USD,59.19,59,buy,9.95,Johnson & Johnson
01-29-2015,ABBV,YAHOO,USD,104.26,1,sell,0,AbbVie Inc
02-02-2015,Account Fee,MANUAL,USD,0,0,fee,41.74,Quarterly fee
02-05-2015,T,YAHOO,USD,2.76,33,dividend,0,AT&T Inc dividend
02-11-2015,T,YAHOO,USD,10.88,35,buy,4.95,AT&T Inc
02-16-2015,MMM,YAHOO,USD,63.2,14,buy,0,3M Company
02-16-2015,XOM,YAHOO,USD,40.98,1,buy,0,Exxon Mobil
02-23-2015,T,YAHOO,USD,19.47,70,sell,0,AT&T Inc
02-24-2015,KO,YAHOO,USD,24.68,50,buy,1.0,Coca-Cola
03-16-2015,ABBV,YAHOO,USD,256.69,42,sell,9.95,AbbVie Inc
03-16-2015,Account Fee,MANUAL,USD,0,0,fee,37.74,Quarterly fee
03-18-2015,ABBV,YAHOO,USD,149.87,30,sell,4.95,AbbVie Inc
03-18-2015,T,YAHOO,USD,16.11,53,sell,4.95,AT&T Inc
03-27-2015,XOM,YAHOO,USD,81.67,39,sell,4.95,Exxon Mobil
03-31-2015,T,YAHOO,USD,13.34,57,buy,0,AT&T Inc
04-01-2015,PG,YAHOO,USD,0.45,19,dividend,0,Procter & Gamble dividend
04-06-2015,T,YAHOO,USD,15.22,11,buy,1.0,AT&T Inc
04-09-2015,JNJ,YAHOO,USD,2.3,41,dividend,0,Johnson & Johnson dividend
04-13-2015,PEP,YAHOO,USD,76.56,37,buy,0,PepsiCo
04-20-2015,T,YAHOO,USD,20.25,46,sell,0,AT&T Inc
04-29-2015,ABBV,YAHOO,USD,33.73,28,buy,4.95,AbbVie Inc
04-30-2015,JNJ,YAHOO,USD,110.88,75,sell,0,Johnson & Johnson
05-01-2015,PEP,YAHOO,USD,96.3,9,buy,4.95,PepsiCo
05-04-2015,KO,YAHOO,USD,41.35,59,buy,9.95,Coca-Cola
05-04-2015,PG,YAHOO,USD,83.68,42,buy,9.95,Procter & Gamble
05-06-2015,ABBV,YAHOO,USD,111.04,67,buy,0,AbbVie Inc
05-06-2015,JNJ,YAHOO,USD,60.06,34,buy,9.95,Johnson & Johnson
05-07-2015,ABBV,YAHOO,USD,75.77,75,sell,0,AbbVie Inc
05-13-2015,MMM,YAHOO,USD,91.84,78,sell,0,3M Company
05-18-2015,JNJ,YAHOO,USD,63.05,8,buy,0,Johnson & Johnson
05-27-2015,XOM,YAHOO,USD,63.08,51,buy,9.95,Exxon Mobil
06-05-2015,PG,YAHOO,USD,156.01,17,sell,4.95,Procter & Gamble
06-05-2015,Account Fee,MANUAL,USD,0,0,fee,26.61,Quarterly fee
06-16-2015,XOM,YAHOO,USD,44.14,80,buy,9.95,Exxon Mobil
06-18-2015,XOM,YAHOO,USD,52.16,52,buy,4.95,Exxon Mobil
06-18-2015,MMM,YAHOO,USD,98.81,48,sell,0,3M Company
06-18-2015,MMM,YAHOO,USD,57.05,5,buy,0,3M Company
06-22-2015,PG,YAHOO,USD,224.51,25,sell,0,Procter & Gamble
06-22-2015,PEP,YAHOO,USD,224.56,16,sell,1.0,PepsiCo
06-22-2015,XOM,YAHOO,USD,40.93,13,buy,1.0,Exxon Mobil
06-26-2015,XOM,YAHOO,USD,1.13,38,dividend,0,Exxon Mobil dividend
06-29-2015,XOM,YAHOO,USD,1.31,9,dividend,0,Exxon Mobil dividend
06-29-2015,XOM,YAHOO,USD,40.4,32,buy,0,Exxon Mobil
07-03-2015,KO,YAHOO,USD,32.5,72,buy,0,Coca-Cola
07-06-2015,KO,YAHOO,USD,20.55,72,buy,9.95,Coca-Cola
07-09-2015,PG,YAHOO,USD,2.03,19,dividend,0,Procter & Gamble dividend
07-10-2015,MMM,YAHOO,USD,50.36,12,buy,1.0,3M Company
07-13-2015,MMM,YAHOO,USD,1.87,19,dividend,0,3M Company dividend
07-20-2015,PG,YAHOO,USD,208.33,74,sell,9.95,Procter & Gamble
07-20-2015,JNJ,YAHOO,USD,80.57,46,buy,0,Johnson & Johnson
07-20-2015,PG,YAHOO,USD,0.36,22,dividend,0,Procter & Gamble dividend
07-22-2015,T,YAHOO,USD,23.24,59,sell,0,AT&T Inc
07-27-2015,KO,YAHOO,USD,25.84,12,buy,0,Coca-Cola
08-17-2015,MMM,YAHOO,USD,63.04,6,buy,0,3M Company
08-19-2015,JNJ,YAHOO,USD,0.39,39,dividend,0,Johnson & Johnson dividend
08-19-2015,JNJ,YAHOO,USD,83.28,78,buy,1.0,Johnson & Johnson
08-20-2015,T,YAHOO,USD,1.12,31,dividend,0,AT&T Inc dividend
08-24-2015,KO,YAHOO,USD,34.43,7,buy,0,Coca-Cola
08-27-2015,KO,YAHOO,USD,39.11,7,buy,1.0,Coca-Cola
09-03-2015,KO,YAHOO,USD,41.07,8,sell,0,Coca-Cola
09-07-2015,KO,YAHOO,USD,0.21,49,dividend,0,Coca-Cola dividend
09-24-2015,ABBV,YAHOO,USD,59.02,34,buy,1.0,AbbVie Inc
09-28-2015,KO,YAHOO,USD,20.73,52,buy,0,Coca-Cola
09-28-2015,JNJ,YAHOO,USD,79.83,35,buy,0,Johnson & Johnson
09-29-2015,KO,YAHOO,USD,57.99,73,sell,0,Coca-Cola
10-07-2015,JNJ,YAHOO,USD,1.5,50,dividend,0,Johnson & Johnson dividend
10-07-2015,T,YAHOO,USD,27.49,5,sell,1.0,AT&T Inc
10-08-2015,ABBV,YAHOO,USD,1.52,37,dividend,0,AbbVie Inc dividend
10-08-2015,T,YAHOO,USD,11.65,13,buy,9.95,AT&T Inc
10-16-2015,PEP,YAHOO,USD,83.23,52,buy,0,PepsiCo
10-29-2015,PEP,YAHOO,USD,66.97,41,buy,0,PepsiCo
11-02-2015,PEP,YAHOO,USD,201.26,19,sell,0,PepsiCo
11-09-2015,KO,YAHOO,USD,21.37,7,buy,1.0,Coca-Cola
11-09-2015,Account Fee,MANUAL,USD,0,0,fee,7.71,Quarterly fee
11-16-2015,PG,YAHOO,USD,180.78,8,sell,0,Procter & Gamble
11-17-2015,Account Fee,MANUAL,USD,0,0,fee,49.65,Quarterly fee
11-18-2015,PEP,YAHOO,USD,99.95,53,buy,0,PepsiCo
11-18-2015,PEP,YAHOO,USD,111.58,23,sell,0,PepsiCo
11-19-2015,PG,YAHOO,USD,77.09,26,buy,0,Procter & Gamble
11-19-2015,PEP,YAHOO,USD,151.25,41,sell,0,PepsiCo
11-23-2015,KO,YAHOO,USD,75.13,14,sell,1.0,Coca-Cola
11-23-2015,XOM,YAHOO,USD,0.42,46,dividend,0,Exxon Mobil dividend
11-30-2015,Account Fee,MANUAL,USD,0,0,fee,21.18,Quarterly fee
12-07-2015,JNJ,YAHOO,USD,53.84,77,buy,9.95,Johnson & Johnson
12-14-2015,XOM,YAHOO,USD,1.8,10,dividend,0,Exxon Mobil dividend
12-14-2015,T,YAHOO,USD,24.18,29,sell,9.95,AT&T Inc
12-15-2015,KO,YAHOO,USD,36.99,64,sell,1.0,Coca-Cola
12-17-2015,JNJ,YAHOO,USD,109.51,43,buy,4.95,Johnson & Johnson
12-22-2015,MMM,YAHOO,USD,54.73,75,buy,0,3M Company
12-25-2015,PEP,YAHOO,USD,107.72,28,buy,4.95,PepsiCo
12-28-2015,XOM,YAHOO,USD,65.12,10,buy,0,Exxon Mobil
01-04-2016,T,YAHOO,USD,11.6,23,buy,4.95,AT&T Inc
01-04-2016,Account Fee,MANUAL,USD,0,0,fee,13.92,Quarterly fee
01-04-2016,T,YAHOO,USD,22.81,32,sell,4.95,AT&T Inc
01-05-2016,ABBV,YAHOO,USD,165.73,30,sell,1.0,AbbVie Inc
01-18-2016,PG,YAHOO,USD,105.9,58,buy,0,Procter & Gamble
01-28-2016,MMM,YAHOO,USD,155.17,18,sell,0,3M Company
02-01-2016,ABBV,YAHOO,USD,96.92,18,sell,4.95,AbbVie Inc
02-01-2016,PG,YAHOO,USD,142.08,76,sell,0,Procter & Gamble
02-05-2016,JNJ,YAHOO,USD,95.17,37,buy,9.95,Johnson & Johnson
02-05-2016,JNJ,YAHOO,USD,93.02,67,buy,0,Johnson & Johnson
02-08-2016,XOM,YAHOO,USD,0.58,20,dividend,0,Exxon Mobil dividend
02-10-2016,T,YAHOO,USD,3.23,39,dividend,0,AT&T Inc dividend
02-15-2016,PG,YAHOO,USD,2.7,34,dividend,0,Procter & Gamble dividend
02-15-2016,T,YAHOO,USD,10.97,49,buy,0,AT&T Inc
02-15-2016,XOM,YAHOO,USD,53.03,61,buy,0,Exxon Mobil
02-16-2016,PEP,YAHOO,USD,107.89,74,sell,1.0,PepsiCo
02-18-2016,ABBV,YAHOO,USD,193.23,61,sell,9.95,AbbVie Inc
02-22-2016,T,YAHOO,USD,15.82,10,sell,0,AT&T Inc
02-22-2016,T,YAHOO,USD,2.8,21,dividend,0,AT&T Inc dividend
02-26-2016,XOM,YAHOO,USD,157.56,73,sell,0,Exxon Mobil
03-09-2016,KO,YAHOO,USD,56.65,29,sell,0,Coca-Cola
03-14-2016,PEP,YAHOO,USD,67.12,41,buy,0,PepsiCo
03-16-2016,PEP,YAHOO,USD,89.76,19,buy,0,PepsiCo
03-28-2016,T,YAHOO,USD,30.76,29,sell,0,AT&T Inc
03-31-2016,XOM,YAHOO,USD,100.05,37,sell,4.95,Exxon Mobil
03-31-2016,Account Fee,MANUAL,USD,0,0,fee,27.45,Quarterly fee
04-04-2016,PG,YAHOO,USD,102.1,17,buy,4.95,Procter & Gamble
04-04-2016,KO,YAHOO,USD,32.98,50,buy,0,Coca-Cola
04-11-2016,XOM,YAHOO,USD,60.63,19,buy,1.0,Exxon Mobil
04-13-2016,ABBV,YAHOO,USD,1.66,24,dividend,0,AbbVie Inc dividend
04-18-2016,Account Fee,MANUAL,USD,0,0,fee,29.38,Quarterly fee
04-18-2016,XOM,YAHOO,USD,29.11,61,buy,0,Exxon Mobil
04-20-2016,T,YAHOO,USD,11.95,9,buy,1.0,AT&T Inc
04-27-2016,PEP,YAHOO,USD,63.63,34,buy,0,PepsiCo
05-02-2016,PG,YAHOO,USD,99.52,3,sell,0,Procter & Gamble
05-04-2016,XOM,YAHOO,USD,52.53,35,buy,0,Exxon Mobil
05-09-2016,PG,YAHOO,USD,77.78,14,buy,9.95,Procter & Gamble
05-27-2016,XOM,YAHOO,USD,135.06,63,sell,9.95,Exxon Mobil
06-06-2016,PG,YAHOO,USD,187.9,43,sell,4.95,Procter & Gamble
06-09-2016,ABBV,YAHOO,USD,253.41,7,sell,1.0,AbbVie Inc
06-13-2016,JNJ,YAHOO,USD,131.05,71,sell,1.0,Johnson & Johnson
06-17-2016,ABBV,YAHOO,USD,61.33,49,sell,0,AbbVie Inc
06-20-2016,KO,YAHOO,USD,57.02,12,sell,0,Coca-Cola
06-24-2016,PG,YAHOO,USD,119.76,7,buy,9.95,Procter & Gamble
06-27-2016,XOM,YAHOO,USD,2.56,25,dividend,0,Exxon Mobil dividend
06-29-2016,Account Fee,MANUAL,USD,0,0,fee,30.18,Quarterly fee
07-05-2016,XOM,YAHOO,USD,0.3,23,dividend,0,Exxon Mobil dividend
07-07-2016,ABBV,YAHOO,USD,99.68,67,buy,1.0,AbbVie Inc
07-08-2016,PG,YAHOO,USD,130.48,30,sell,4.95,Procter & Gamble
07-11-2016,KO,YAHOO,USD,16.98,25,buy,0,Coca-Cola
07-25-2016,ABBV,YAHOO,USD,2.32,16,dividend,0,AbbVie Inc dividend
07-29-2016,T,YAHOO,USD,2.13,10,dividend,0,AT&T Inc dividend
08-01-2016,XOM,YAHOO,USD,125.03,46,sell,4.95,Exxon Mobil
08-02-2016,MMM,YAHOO,USD,138.74,35,sell,0,3M Company
08-05-2016,PG,YAHOO,USD,105.08,73,buy,0,Procter & Gamble
08-11-2016,KO,YAHOO,USD,27.76,48,buy,9.95,Coca-Cola
08-15-2016,PG,YAHOO,USD,180.36,14,sell,0,Procter & Gamble
08-16-2016,MMM,YAHOO,USD,57.09,53,buy,9.95,3M Company
08-25-2016,JNJ,YAHOO,USD,84.66,21,buy,0,Johnson & Johnson
08-30-2016,PG,YAHOO,USD,86.05,3,sell,1.0,Procter & Gamble
09-12-2016,PEP,YAHOO,USD,233.61,53,sell,0,PepsiCo
09-16-2016,PEP,YAHOO,USD,198.79,18,sell,1.0,PepsiCo
09-19-2016,PEP,YAHOO,USD,84.33,77,buy,1.0,PepsiCo
09-26-2016,MMM,YAHOO,USD,64.01,69,buy,0,3M Company
09-26-2016,JNJ,YAHOO,USD,198.63,77,sell,0,Johnson & Johnson
09-27-2016,PEP,YAHOO,USD,198.23,62,sell,0,PepsiCo
09-29-2016,PEP,YAHOO,USD,237.34,72,sell,4.95,PepsiCo
10-03-2016,T,YAHOO,USD,23.42,45,sell,9.95,AT&T Inc
10-14-2016,JNJ,YAHOO,USD,109.05,78,sell,0,Johnson & Johnson
10-20-2016,KO,YAHOO,USD,43.52,37,sell,0,Coca-Cola
10-24-2016,JNJ,YAHOO,USD,1.21,25,dividend,0,Johnson & Johnson dividend
10-28-2016,MMM,YAHOO,USD,153.15,4,sell,1.0,3M Company
11-02-2016,PEP,YAHOO,USD,90.24,20,buy,0,PepsiCo
11-07-2016,MMM,YAHOO,USD,3.4,28,dividend,0,3M Company dividend
11-08-2016,MMM,YAHOO,USD,72.38,69,buy,9.95,3M Company
11-10-2016,KO,YAHOO,USD,31.41,7,sell,0,Coca-Cola
11-14-2016,MMM,YAHOO,USD,57.66,22,buy,0,3M Company
11-17-2016,PG,YAHOO,USD,87.94,2,buy,9.95,Procter & Gamble
11-18-2016,JNJ,YAHOO,USD,149.99,6,sell,4.95,Johnson & Johnson
11-22-2016,T,YAHOO,USD,24.53,56,sell,0,AT&T Inc
11-29-2016,Account Fee,MANUAL,USD,0,0,fee,15.1,Quarterly fee
12-05-2016,T,YAHOO,USD,8.92,63,buy,0,AT&T Inc
12-05-2016,PEP,YAHOO,USD,153.92,56,sell,9.95,PepsiCo
12-05-2016,PG,YAHOO,USD,74.28,19,buy,0,Procter & Gamble
12-05-2016,Account Fee,MANUAL,USD,0,0,fee,49.68,Quarterly fee
12-05-2016,XOM,YAHOO,USD,91.16,71,sell,1.0,Exxon Mobil
12-12-2016,ABBV,YAHOO,USD,65.54,29,sell,0,AbbVie Inc
12-14-2016,MMM,YAHOO,USD,119.79,75,sell,0,3M Company
12-19-2016,PG,YAHOO,USD,150.58,44,sell,1.0,Procter & Gamble
12-19-2016,JNJ,YAHOO,USD,88.12,74,buy,4.95,Johnson & Johnson
12-20-2016,KO,YAHOO,USD,3.14,3,dividend,0,Coca-Cola dividend
12-22-2016,ABBV,YAHOO,USD,185.34,27,sell,0,AbbVie Inc
12-26-2016,JNJ,YAHOO,USD,3.2,2,dividend,0,Johnson & Johnson dividend
01-03-2017,XOM,YAHOO,USD,44.26,46,buy,0,Exxon Mobil
01-03-2017,KO,YAHOO,USD,22.94,55,buy,0,Coca-Cola
01-06-2017,MMM,YAHOO,USD,60.72,39,buy,9.95,3M Company
01-09-2017,ABBV,YAHOO,USD,98.8,51,buy,1.0,AbbVie Inc
01-10-2017,KO,YAHOO,USD,43.06,78,buy,0,Coca-Cola
01-10-2017,PEP,YAHOO,USD,0.15,8,dividend,0,PepsiCo dividend
01-12-2017,PG,YAHOO,USD,251.27,56,sell,0,Procter & Gamble
01-17-2017,XOM,YAHOO,USD,113.9,73,sell,1.0,Exxon Mobil
01-30-2017,PEP,YAHOO,USD,100.56,36,sell,4.95,PepsiCo
02-06-2017,XOM,YAHOO,USD,53.06,40,buy,4.95,Exxon Mobil
02-13-2017,T,YAHOO,USD,13.3,74,buy,9.95,AT&T Inc
02-16-2017,JNJ,YAHOO,USD,51.02,34,buy,0,Johnson & Johnson
02-20-2017,KO,YAHOO,USD,43.5,48,buy,1.0,Coca-Cola
02-20-2017,MMM,YAHOO,USD,67.04,64,buy,4.95,3M Company
02-21-2017,XOM,YAHOO,USD,2.04,31,dividend,0,Exxon Mobil dividend
02-28-2017,MMM,YAHOO,USD,0.18,45,dividend,0,3M Company dividend
03-06-2017,JNJ,YAHOO,USD,120.39,75,buy,9.95,Johnson & Johnson
03-08-2017,PG,YAHOO,USD,1.38,7,dividend,0,Procter & Gamble dividend
03-13-2017,T,YAHOO,USD,25.12,8,sell,9.95,AT&T Inc
03-15-2017,Account Fee,MANUAL,USD,0,0,fee,33.82,Quarterly fee
03-16-2017,PEP,YAHOO,USD,76.33,26,buy,9.95,PepsiCo
03-20-2017,Account Fee,MANUAL,USD,0,0,fee,33.73,Quarterly fee
03-28-2017,KO,YAHOO,USD,43.01,28,sell,0,Coca-Cola
03-30-2017,KO,YAHOO,USD,36.45,30,buy,0,Coca-Cola
03-31-2017,PEP,YAHOO,USD,162.66,8,sell,4.95,PepsiCo
04-10-2017,PEP,YAHOO,USD,102.26,43,buy,0,PepsiCo
04-11-2017,XOM,YAHOO,USD,55.73,70,buy,0,Exxon Mobil
04-11-2017,JNJ,YAHOO,USD,54.08,36,buy,9.95,Johnson & Johnson
04-13-2017,JNJ,YAHOO,USD,76.19,66,buy,4.95,Johnson & Johnson
04-18-2017,PG,YAHOO,USD,0.71,11,dividend,0,Procter & Gamble dividend
04-20-2017,KO,YAHOO,USD,24.61,27,buy,0,Coca-Cola
04-24-2017,KO,YAHOO,USD,37.03,45,sell,0,Coca-Cola
04-24-2017,T,YAHOO,USD,10.44,2,buy,0,AT&T Inc
05-03-2017,MMM,YAHOO,USD,75.58,35,buy,0,3M Company
05-11-2017,PEP,YAHOO,USD,212.6,34,sell,0,PepsiCo
05-15-2017,KO,YAHOO,USD,40.86,2,buy,0,Coca-Cola
05-19-2017,KO,YAHOO,USD,2.83,19,dividend,0,Coca-Cola dividend
05-22-2017,ABBV,YAHOO,USD,56.43,56,buy,0,AbbVie Inc
05-25-2017,T,YAHOO,USD,23.02,80,sell,0,AT&T Inc
05-26-2017,XOM,YAHOO,USD,161.84,35,sell,9.95,Exxon Mobil
05-29-2017,MMM,YAHOO,USD,65.89,21,buy,0,3M Company
05-30-2017,PG,YAHOO,USD,2.99,31,dividend,0,Procter & Gamble dividend
06-05-2017,ABBV,YAHOO,USD,88.75,20,buy,1.0,AbbVie Inc
06-13-2017,JNJ,YAHOO,USD,181.83,32,sell,0,Johnson & Johnson
06-19-2017,T,YAHOO,USD,14.85,48,buy,0,AT&T Inc
06-19-2017,JNJ,YAHOO,USD,126.17,78,buy,0,Johnson & Johnson
06-19-2017,MMM,YAHOO,USD,63.39,50,buy,1.0,3M Company
