Date,Code,DataSource,Currency,Price,Quantity,Action,Fee,Note
01-05-2015,VGT,YAHOO,USD,160.62,58,buy,4.95,Vanguard Info Tech
01-14-2015,VNQ,YAHOO,USD,67.81,36,buy,4.95,Vanguard Real Estate
01-16-2015,BND,YAHOO,USD,60.04,26,buy,0,Vanguard Bond
01-16-2015,VOO,YAHOO,USD,542.6,44,sell,0,Vanguard S&P 500
01-16-2015,VXUS,YAHOO,USD,22.62,8,buy,0,Vanguard Intl
01-16-2015,QQQ,YAHOO,USD,0.58,24,dividend,0,Invesco QQQ dividend
01-19-2015,VNQ,YAHOO,USD,2.41,26,dividend,0,Vanguard Real Estate dividend
01-20-2015,SCHD,YAHOO,USD,56.96,48,sell,9.95,Schwab Dividend
01-26-2015,VNQ,YAHOO,USD,113.74,25,sell,1.0,Vanguard Real Estate
02-02-2015,VXUS,YAHOO,USD,38.24,21,buy,0,Vanguard Intl
02-04-2015,QQQ,YAHOO,USD,0.66,17,dividend,0,Invesco QQQ dividend
02-17-2015,VOO,YAHOO,USD,0.81,2,dividend,0,Vanguard S&P 500 dividend
02-19-2015,VNQ,YAHOO,USD,37.46,68,buy,9.95,Vanguard Real Estate
02-24-2015,QQQ,YAHOO,USD,388.74,62,buy,1.0,Invesco QQQ
02-27-2015,VTI,YAHOO,USD,1.44,24,dividend,0,Vanguard Total Market dividend
03-02-2015,QQQ,YAHOO,USD,122.06,36,sell,9.95,Invesco QQQ
03-06-2015,BND,YAHOO,USD,90.15,14,sell,9.95,Vanguard Bond
03-12-2015,VOO,YAHOO,USD,107.32,10,buy,0,Vanguard S&P 500
03-12-2015,VNQ,YAHOO,USD,128.0,40,sell,4.95,Vanguard Real Estate
03-26-2015,SCHD,YAHOO,USD,58.73,64,sell,4.95,Schwab Dividend
03-30-2015,VNQ,YAHOO,USD,46.65,37,buy,0,Vanguard Real Estate
03-30-2015,QQQ,YAHOO,USD,201.19,48,buy,9.95,Invesco QQQ
04-07-2015,VGT,YAHOO,USD,454.5,20,sell,0,Vanguard Info Tech
04-08-2015,VNQ,YAHOO,USD,46.85,61,buy,9.95,Vanguard Real Estate
04-13-2015,VXUS,YAHOO,USD,69.89,6,sell,0,Vanguard Intl
04-13-2015,VTI,YAHOO,USD,140.13,58,buy,9.95,Vanguard Total Market
04-13-2015,BND,YAHOO,USD,50.49,45,buy,4.95,Vanguard Bond
04-20-2015,VNQ,YAHOO,USD,61.35,49,buy,0,Vanguard Real Estate
04-22-2015,QQQ,YAHOO,USD,79.61,70,buy,0,Invesco QQQ
04-27-2015,QQQ,YAHOO,USD,661.15,36,sell,0,Invesco QQQ
05-01-2015,BND,YAHOO,USD,108.35,5,sell,9.95,Vanguard Bond
05-05-2015,QQQ,YAHOO,USD,319.36,12,sell,0,Invesco QQQ
05-18-2015,VGT,YAHOO,USD,111.72,52,buy,1.0,Vanguard Info Tech
06-09-2015,SCHD,YAHOO,USD,0.73,49,dividend,0,Schwab Dividend dividend
06-17-2015,QQQ,YAHOO,USD,125.21,20,buy,0,Invesco QQQ
06-19-2015,BND,YAHOO,USD,52.54,11,buy,0,Vanguard Bond
06-19-2015,VXUS,YAHOO,USD,3.05,31,dividend,0,Vanguard Intl dividend
06-25-2015,VXUS,YAHOO,USD,58.95,25,sell,1.0,Vanguard Intl
06-29-2015,QQQ,YAHOO,USD,403.22,42,sell,1.0,Invesco QQQ
06-29-2015,VXUS,YAHOO,USD,61.62,34,sell,0,Vanguard Intl
06-29-2015,QQQ,YAHOO,USD,176.33,76,buy,0,Invesco QQQ
07-09-2015,BND,YAHOO,USD,49.18,17,buy,4.95,Vanguard Bond
07-09-2015,VOO,YAHOO,USD,0.8,45,dividend,0,Vanguard S&P 500 dividend
07-13-2015,VXUS,YAHOO,USD,74.1,63,sell,0,Vanguard Intl
07-20-2015,VOO,YAHOO,USD,1.38,4,dividend,0,Vanguard S&P 500 dividend
07-20-2015,BND,YAHOO,USD,48.04,13,buy,1.0,Vanguard Bond
07-24-2015,Account Fee,MANUAL,USD,0,0,fee,47.7,Quarterly fee
07-27-2015,VGT,YAHOO,USD,410.13,23,sell,0,Vanguard Info Tech
08-03-2015,VNQ,YAHOO,USD,56.36,50,buy,4.95,Vanguard Real Estate
08-03-2015,QQQ,YAHOO,USD,93.5,47,buy,9.95,Invesco QQQ
08-07-2015,VTI,YAHOO,USD,1.98,24,dividend,0,Vanguard Total Market dividend
08-07-2015,VOO,YAHOO,USD,489.28,6,sell,0,Vanguard S&P 500
08-10-2015,QQQ,YAHOO,USD,359.51,17,sell,0,Invesco QQQ
08-10-2015,VGT,YAHOO,USD,210.99,61,sell,0,Vanguard Info Tech
08-11-2015,VXUS,YAHOO,USD,0.56,3,dividend,0,Vanguard Intl dividend
08-12-2015,QQQ,YAHOO,USD,300.57,15,buy,0,Invesco QQQ
08-12-2015,VNQ,YAHOO,USD,0.81,35,dividend,0,Vanguard Real Estate dividend
08-13-2015,QQQ,YAHOO,USD,316.38,15,buy,4.95,Invesco QQQ
08-17-2015,VXUS,YAHOO,USD,67.71,33,sell,0,Vanguard Intl
08-27-2015,BND,YAHOO,USD,97.44,20,sell,0,Vanguard Bond
09-02-2015,BND,YAHOO,USD,3.23,43,dividend,0,Vanguard Bond dividend
09-03-2015,VTI,YAHOO,USD,53.83,32,buy,1.0,Vanguard Total Market
09-07-2015,VNQ,YAHOO,USD,72.97,51,sell,0,Vanguard Real Estate
09-07-2015,SCHD,YAHOO,USD,41.82,68,buy,0,Schwab Dividend
09-07-2015,VNQ,YAHOO,USD,58.69,14,buy,1.0,Vanguard Real Estate
09-11-2015,VGT,YAHOO,USD,160.81,62,buy,1.0,Vanguard Info Tech
09-18-2015,Account Fee,MANUAL,USD,0,0,fee,10.26,Quarterly fee
09-28-2015,Account Fee,MANUAL,USD,0,0,fee,12.71,Quarterly fee
09-28-2015,QQQ,YAHOO,USD,347.09,51,buy,0,Invesco QQQ
09-29-2015,Account Fee,MANUAL,USD,0,0,fee,17.42,Quarterly fee
10-05-2015,VOO,YAHOO,USD,377.94,59,buy,4.95,Vanguard S&P 500
10-05-2015,VXUS,YAHOO,USD,46.44,74,buy,0,Vanguard Intl
10-06-2015,VNQ,YAHOO,USD,56.04,46,buy,1.0,Vanguard Real Estate
10-06-2015,Account Fee,MANUAL,USD,0,0,fee,11.12,Quarterly fee
10-15-2015,BND,YAHOO,USD,47.21,67,buy,0,Vanguard Bond
10-16-2015,VXUS,YAHOO,USD,2.15,19,dividend,0,Vanguard Intl dividend
10-20-2015,SCHD,YAHOO,USD,69.12,63,sell,0,Schwab Dividend
10-29-2015,VXUS,YAHOO,USD,28.57,23,buy,0,Vanguard Intl
11-09-2015,BND,YAHOO,USD,88.93,4,sell,0,Vanguard Bond
11-13-2015,Account Fee,MANUAL,USD,0,0,fee,44.29,Quarterly fee
11-23-2015,VTI,YAHOO,USD,106.84,55,sell,0,Vanguard Total Market
11-26-2015,VOO,YAHOO,USD,118.46,70,buy,4.95,Vanguard S&P 500
11-30-2015,VGT,YAHOO,USD,298.44,42,buy,0,Vanguard Info Tech
12-07-2015,SCHD,YAHOO,USD,39.24,14,buy,9.95,Schwab Dividend
12-08-2015,VTI,YAHOO,USD,134.22,64,sell,0,Vanguard Total Market
12-14-2015,VOO,YAHOO,USD,313.11,75,buy,0,Vanguard S&P 500
12-23-2015,VTI,YAHOO,USD,264.77,72,sell,0,Vanguard Total Market
01-04-2016,VTI,YAHOO,USD,171.53,4,buy,9.95,Vanguard Total Market
01-04-2016,VOO,YAHOO,USD,565.04,67,sell,0,Vanguard S&P 500
01-07-2016,VXUS,YAHOO,USD,1.1,35,dividend,0,Vanguard Intl dividend
01-08-2016,VTI,YAHOO,USD,134.08,16,buy,4.95,Vanguard Total Market
01-11-2016,VTI,YAHOO,USD,344.38,34,sell,0,Vanguard Total Market
01-12-2016,VXUS,YAHOO,USD,0.49,45,dividend,0,Vanguard Intl dividend
01-14-2016,VGT,YAHOO,USD,666.71,17,sell,4.95,Vanguard Info Tech
01-18-2016,SCHD,YAHOO,USD,97.24,53,sell,0,Schwab Dividend
01-21-2016,VNQ,YAHOO,USD,95.47,18,sell,0,Vanguard Real Estate
01-26-2016,VTI,YAHOO,USD,2.1,7,dividend,0,Vanguard Total Market dividend
01-29-2016,VGT,YAHOO,USD,3.17,35,dividend,0,Vanguard Info Tech dividend
02-01-2016,BND,YAHOO,USD,49.28,1,buy,0,Vanguard Bond
02-02-2016,BND,YAHOO,USD,57.83,42,buy,0,Vanguard Bond
02-08-2016,VGT,YAHOO,USD,272.19,63,buy,0,Vanguard Info Tech
02-19-2016,QQQ,YAHOO,USD,244.23,9,buy,0,Invesco QQQ
02-22-2016,VGT,YAHOO,USD,2.66,3,dividend,0,Vanguard Info Tech dividend
02-29-2016,QQQ,YAHOO,USD,318.59,54,sell,0,Invesco QQQ
02-29-2016,VGT,YAHOO,USD,145.43,28,buy,1.0,Vanguard Info Tech
02-29-2016,BND,YAHOO,USD,58.13,75,buy,0,Vanguard Bond
03-22-2016,VNQ,YAHOO,USD,47.11,1,buy,0,Vanguard Real Estate
04-01-2016,VOO,YAHOO,USD,91.84,66,buy,0,Vanguard S&P 500
04-11-2016,VNQ,YAHOO,USD,49.9,32,buy,0,Vanguard Real Estate
04-13-2016,SCHD,YAHOO,USD,58.48,6,sell,0,Schwab Dividend
04-13-2016,BND,YAHOO,USD,51.84,8,buy,0,Vanguard Bond
04-18-2016,VNQ,YAHOO,USD,48.33,77,buy,9.95,Vanguard Real Estate
04-21-2016,QQQ,YAHOO,USD,508.52,8,sell,9.95,Invesco QQQ
04-25-2016,VNQ,YAHOO,USD,72.38,18,sell,9.95,Vanguard Real Estate
04-26-2016,VTI,YAHOO,USD,253.7,6,sell,0,Vanguard Total Market
05-02-2016,Account Fee,MANUAL,USD,0,0,fee,15.74,Quarterly fee
