Date,Code,DataSource,Currency,Price,Quantity,Action,Fee,Note
05-01-2015,CRM,YAHOO,USD,401.22,67,sell,0,Salesforce
07-01-2015,ADBE,YAHOO,USD,282.34,44,buy,9.95,Adobe Inc
12-01-2015,CRM,YAHOO,USD,352.59,26,sell,0,Salesforce
13-01-2015,Account Fee,MANUAL,USD,0,0,fee,16.93,Quarterly fee
19-01-2015,NVDA,YAHOO,USD,431.01,16,buy,4.95,NVIDIA Corp
23-01-2015,CRM,YAHOO,USD,143.11,13,sell,4.95,Salesforce
26-01-2015,Account Fee,MANUAL,USD,0,0,fee,49.01,Quarterly fee
02-02-2015,NVDA,YAHOO,USD,155.59,43,buy,0,NVIDIA Corp
02-02-2015,META,YAHOO,USD,107.36,3,buy,9.95,Meta Platforms
03-02-2015,NVDA,YAHOO,USD,297.18,5,buy,0,NVIDIA Corp
04-02-2015,MSFT,YAHOO,USD,459.62,48,sell,4.95,Microsoft Corp
11-02-2015,AAPL,YAHOO,USD,122.51,43,buy,0,Apple Inc
11-02-2015,GOOGL,YAHOO,USD,56.95,79,buy,1.0,Alphabet Inc
20-02-2015,NVDA,YAHOO,USD,643.42,9,sell,0,NVIDIA Corp
23-02-2015,AAPL,YAHOO,USD,103.01,64,sell,0,Apple Inc
24-02-2015,META,YAHOO,USD,572.93,1,sell,4.95,Meta Platforms
03-03-2015,AMZN,YAHOO,USD,2.67,34,dividend,0,Amazon.com dividend
06-03-2015,GOOGL,YAHOO,USD,112.11,64,sell,0,Alphabet Inc
10-03-2015,ADBE,YAHOO,USD,166.52,68,buy,9.95,Adobe Inc
10-03-2015,Account Fee,MANUAL,USD,0,0,fee,31.42,Quarterly fee
19-03-2015,NVDA,YAHOO,USD,584.78,45,sell,0,NVIDIA Corp
23-03-2015,GOOGL,YAHOO,USD,68.83,31,buy,4.95,Alphabet Inc
31-03-2015,Account Fee,MANUAL,USD,0,0,fee,12.73,Quarterly fee
02-04-2015,NVDA,YAHOO,USD,323.57,6,sell,1.0,NVIDIA Corp
07-04-2015,MSFT,YAHOO,USD,2.3,44,dividend,0,Microsoft Corp dividend
09-04-2015,ADBE,YAHOO,USD,166.78,31,buy,0,Adobe Inc
13-04-2015,GOOGL,YAHOO,USD,98.01,7,sell,0,Alphabet Inc
16-04-2015,CRM,YAHOO,USD,216.96,53,buy,9.95,Salesforce
17-04-2015,MSFT,YAHOO,USD,176.93,14,sell,9.95,Microsoft Corp
20-04-2015,META,YAHOO,USD,382.1,74,buy,4.95,Meta Platforms
22-04-2015,ADBE,YAHOO,USD,225.9,71,buy,0,Adobe Inc
24-04-2015,AMZN,YAHOO,USD,66.56,50,buy,0,Amazon.com
04-05-2015,GOOGL,YAHOO,USD,146.57,7,sell,0,Alphabet Inc
08-05-2015,ADBE,YAHOO,USD,76.98,22,buy,0,Adobe Inc
12-05-2015,Account Fee,MANUAL,USD,0,0,fee,43.46,Quarterly fee
22-05-2015,NVDA,YAHOO,USD,593.49,79,sell,0,NVIDIA Corp
28-05-2015,AAPL,YAHOO,USD,232.89,61,sell,1.0,Apple Inc
08-06-2015,META,YAHOO,USD,315.02,8,sell,0,Meta Platforms
10-06-2015,META,YAHOO,USD,176.85,41,buy,1.0,Meta Platforms
10-06-2015,GOOGL,YAHOO,USD,117.4,18,buy,9.95,Alphabet Inc
16-06-2015,AAPL,YAHOO,USD,83.44,51,buy,9.95,Apple Inc
02-07-2015,ADBE,YAHOO,USD,228.25,57,buy,4.95,Adobe Inc
03-07-2015,NVDA,YAHOO,USD,845.53,40,sell,4.95,NVIDIA Corp
03-07-2015,CRM,YAHOO,USD,371.23,20,sell,0,Salesforce
06-07-2015,AAPL,YAHOO,USD,0.14,3,dividend,0,Apple Inc dividend
09-07-2015,AMZN,YAHOO,USD,73.77,71,buy,0,Amazon.com
10-07-2015,META,YAHOO,USD,255.79,27,buy,0,Meta Platforms
10-07-2015,MSFT,YAHOO,USD,2.72,17,dividend,0,Microsoft Corp dividend
13-07-2015,AAPL,YAHOO,USD,119.68,16,buy,0,Apple Inc
21-07-2015,AAPL,YAHOO,USD,144.23,53,buy,1.0,Apple Inc
21-07-2015,AAPL,YAHOO,USD,141.26,71,sell,0,Apple Inc
23-07-2015,AMZN,YAHOO,USD,96.48,61,buy,0,Amazon.com
24-07-2015,NVDA,YAHOO,USD,39.16,19,buy,0,NVIDIA Corp
27-07-2015,NVDA,YAHOO,USD,1135.59,3,sell,0,NVIDIA Corp
31-07-2015,MSFT,YAHOO,USD,266.14,12,sell,0,Microsoft Corp
31-07-2015,ADBE,YAHOO,USD,268.73,51,buy,1.0,Adobe Inc
31-07-2015,ADBE,YAHOO,USD,2.5,18,dividend,0,Adobe Inc dividend
04-08-2015,NVDA,YAHOO,USD,387.84,10,buy,0,NVIDIA Corp
06-08-2015,META,YAHOO,USD,587.51,14,sell,9.95,Meta Platforms
12-08-2015,AMZN,YAHOO,USD,43.45,78,buy,4.95,Amazon.com
24-08-2015,GOOGL,YAHOO,USD,115.68,52,buy,4.95,Alphabet Inc
27-08-2015,AMZN,YAHOO,USD,95.94,68,buy,0,Amazon.com
07-09-2015,MSFT,YAHOO,USD,140.68,73,buy,0,Microsoft Corp
07-09-2015,AAPL,YAHOO,USD,46.56,14,buy,0,Apple Inc
21-09-2015,ADBE,YAHOO,USD,356.93,3,buy,9.95,Adobe Inc
21-09-2015,CRM,YAHOO,USD,269.43,58,sell,0,Salesforce
30-09-2015,GOOGL,YAHOO,USD,63.44,68,buy,4.95,Alphabet Inc
01-10-2015,MSFT,YAHOO,USD,315.57,68,buy,1.0,Microsoft Corp
05-10-2015,META,YAHOO,USD,381.72,41,buy,0,Meta Platforms
06-10-2015,ADBE,YAHOO,USD,66.31,48,buy,0,Adobe Inc
12-10-2015,ADBE,YAHOO,USD,545.87,76,sell,0,Adobe Inc
13-10-2015,NVDA,YAHOO,USD,1.98,38,dividend,0,NVIDIA Corp dividend
14-10-2015,CRM,YAHOO,USD,3.04,50,dividend,0,Salesforce dividend
16-10-2015,ADBE,YAHOO,USD,703.59,23,sell,9.95,Adobe Inc
19-10-2015,CRM,YAHOO,USD,3.23,40,dividend,0,Salesforce dividend
26-10-2015,NVDA,YAHOO,USD,262.91,74,buy,0,NVIDIA Corp
26-10-2015,AAPL,YAHOO,USD,100.92,56,sell,0,Apple Inc
27-10-2015,AMZN,YAHOO,USD,100.44,59,buy,0,Amazon.com
27-10-2015,NVDA,YAHOO,USD,95.07,61,buy,4.95,NVIDIA Corp
30-10-2015,AMZN,YAHOO,USD,106.97,24,sell,4.95,Amazon.com
02-11-2015,MSFT,YAHOO,USD,272.03,45,sell,0,Microsoft Corp
03-11-2015,GOOGL,YAHOO,USD,66.98,55,buy,9.95,Alphabet Inc
05-11-2015,AAPL,YAHOO,USD,119.94,5,sell,0,Apple Inc
12-11-2015,NVDA,YAHOO,USD,765.16,39,sell,9.95,NVIDIA Corp
16-11-2015,CRM,YAHOO,USD,130.33,50,buy,9.95,Salesforce
24-11-2015,CRM,YAHOO,USD,168.23,38,buy,0,Salesforce
30-11-2015,MSFT,YAHOO,USD,118.43,55,buy,0,Microsoft Corp
30-11-2015,AMZN,YAHOO,USD,2.69,19,dividend,0,Amazon.com dividend
